0,1467810369,Mon Apr 06 22:19:45 PDT 2009,NO_QUERY,_TheSpecialOne_,"@switchfoot http://twitpic.com/2y1zl - Awww, that's a bummer.  You shoulda got David Carr of Third Day to do it. ;D",split
4,1933061338,Tue May 26 22:53:50 PDT 2009,NO_QUERY,Tidus,@fkuu ...why wouldn't it be?  ,-0.6560665813296027
0,2014698468,Wed Jun 03 02:23:26 PDT 2009,NO_QUERY,rosesvrs,why oh why do i wait  until 5am to sleep when i have to get up for work in a bit ,0.07790788025668986
4,1686685332,Sun May 03 06:24:19 PDT 2009,NO_QUERY,mostcallmedope,@Dommie41 Hey mr. Philly...most of my followers are from philly baby!!!...I'm in A.C. though ,-1.0185038489994553
0,1986775281,Sun May 31 19:18:09 PDT 2009,NO_QUERY,ConcertKatie,"So my cable box shows me all the Twilight stuff I don't care about, and goes nuts when Andy is on the screen ",0.23745966593301027
0,1980327746,Sun May 31 06:25:04 PDT 2009,NO_QUERY,LinsayB,I had a great time at the Brickhouse last night!! Now it's back to work again today....   Good morning @jasondereksmith!!!!!,-0.42420476593336526
4,1688116330,Sun May 03 10:22:37 PDT 2009,NO_QUERY,iyaitssuzanne,@cryst_trueblue yeah lolz cant wait till the movie only 6 more days till it comes out ,1.0675675791888328
0,2229646271,Thu Jun 18 16:00:38 PDT 2009,NO_QUERY,MorganIsPocket,@ScaryKids cause I'm going to work  But I can tonight! ,-0.4187017277386443
4,2062897125,Sun Jun 07 00:40:06 PDT 2009,NO_QUERY,hilzfuld,"@hakerem Twitter.com, ever hear of it? ",-1.1872209805101146
0,2039643224,Thu Jun 04 22:27:12 PDT 2009,NO_QUERY,kokonut007,@selenagomez Wow sorry about the hack.  People who hack are jerks!,0.44547573512721844
4,1833311105,Sun May 17 22:53:59 PDT 2009,NO_QUERY,pwn_cakes,@bartmillard I'm gonna have to disagree with you. I love my Seattle Mariners and I don't care how bad they can be. But I love them! ,0.5786010829449192
0,2192688778,Tue Jun 16 07:24:28 PDT 2009,NO_QUERY,wconway77,@titicuervo thanks though ,1.3483498723463476
4,2007638887,Tue Jun 02 12:56:07 PDT 2009,NO_QUERY,Jenisey_LoveOn,@21O3 Amen to that!!! Keep it up fellas. And me too ,-1.2544358426282933
4,1881416154,Fri May 22 04:35:58 PDT 2009,NO_QUERY,ArunBasilLal,"@countroshculla @zeqox @fsiyavud @roshinroy  Guys, #Coktup sounds a bit like that, but its good to get attention. Playing on Minds ",0.392577495323414
4,1955815716,Thu May 28 20:40:18 PDT 2009,NO_QUERY,evelyndj,Nothing's better than a message in time. Not to early and not to late. ,-1.244110964408776
4,2056081318,Sat Jun 06 10:29:33 PDT 2009,NO_QUERY,K_SH,@Mariannebo thank you so much ,-0.6523411555891752
4,2015095935,Wed Jun 03 03:41:13 PDT 2009,NO_QUERY,vivianhor,had a long chat with denise jus now ,-1.521314656906532
0,2065766213,Sun Jun 07 09:14:52 PDT 2009,NO_QUERY,travelingcircus,"Ok, been waiting for three hours now - maybe not meant to be ",-0.14227837065338353
4,1833813611,Mon May 18 00:33:00 PDT 2009,NO_QUERY,Littlebitofmoni,@MarcusChang Thank you! Great blog as well! ,0.9369333521500827
4,2176989935,Mon Jun 15 05:12:45 PDT 2009,NO_QUERY,ceichstaedt,"yay, seems like my rain mstand will arrive today... finally (!) At least UPS says, it will! ",0.46400096239841265
4,1976258838,Sat May 30 16:56:11 PDT 2009,NO_QUERY,magdemand242,I'm going to play super NO-FRIEND-O for awhile....AKA Super Nintendo...LOL ,0.006381596150565872
0,2217501902,Wed Jun 17 20:57:46 PDT 2009,NO_QUERY,Gurlstrange,@Supersham87  that's exactly what i got ,-1.3451153253859176
0,1999792964,Mon Jun 01 20:49:59 PDT 2009,NO_QUERY,90sevan,Bedtime shortly. Still recovering from sevan days of shows. My bed doesn't feel like I belong in it ,0.47485278397369807
0,2198817633,Tue Jun 16 16:36:49 PDT 2009,NO_QUERY,martyfnday,"tonight's dinner: Tuscan Chicken Pizza and pasta salad. Tomorrow, can't chew food. ",-0.9187039968052138
4,1687276371,Sun May 03 08:15:31 PDT 2009,NO_QUERY,Laurabartleyy,gettin ready for work!! ,-0.9739902248503519
4,1759311834,Sun May 10 18:56:17 PDT 2009,NO_QUERY,TheHiren,@Lisa_Marie93 that was quick! yay a new friend ,1.2119364048167942
